frame,che,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,ekfc_x,ekfc_y,ekf_v,ekf_omega
521,False,642.635,271.435,642.7636661452351,270.86769339849684,646.5479568511025,271.0784267854708,644.2955616921396,271.73063463635754,3.668924630270589,0.2331333602775238
522,False,631.86,268.98,631.9727094514724,268.5261707470917,635.2228855911172,268.8491364901197,633.0318170641896,269.6430096433746,5.036921606498835,0.20939062871334693
523,False,621.085,266.53,621.1842812269499,266.14540708952455,623.8184601409935,266.68293468024547,621.9199337518238,267.30822338848424,6.300177449945354,0.21271919973580544
524,True,610.315,264.075,610.5670778684901,263.1013572135262,618.0997171126226,264.0678307374202,612.3615503936225,267.20045750300966,6.300177449945354,0.21271919973580544
525,True,599.54,261.62,599.9498745100302,260.0573073375279,613.0619689971603,260.3043370970009,602.8097264762322,267.57054635664383,6.300177449945354,0.21271919973580544
526,True,588.765,259.17,589.3326711515704,257.0132574615296,608.9323128900922,255.5621086236272,593.2883365849528,268.4175649199912,6.300177449945354,0.21271919973580544
527,True,581.1949999999999,256.82,578.7154677931105,253.96920758553125,605.8969099264683,250.0549206565479,583.8211792358685,269.73939608776215,6.300177449945354,0.21271919973580544
528,True,573.62,254.475,568.0982644346507,250.92515770953293,604.0925933065336,244.03103221208383,574.4319173919517,271.5327359704336,6.300177449945354,0.21271919973580544
529,True,566.045,252.13,557.4810610761908,247.8811078335346,603.600699979721,237.7619946933448,565.1440193179792,273.7931021522522,6.300177449945354,0.21271919973580544
530,True,558.475,249.78,546.863857717731,244.83705795753627,604.4434040490718,231.53041060036972,555.9806999220921,276.51484489493936,6.300177449945354,0.21271919973580544
531,True,550.9,247.435,536.2466543592711,241.79300808153795,606.5827171828716,225.61719406688545,546.9648627306156,279.69116125909466,6.300177449945354,0.21271919973580544
532,True,542.475,244.765,525.6294510008113,238.74895820553962,609.9222010940357,220.28890750708064,538.1190426411711,283.3141121080012,6.300177449945354,0.21271919973580544
533,True,534.045,242.1,515.0122476423514,235.7049083295413,614.3113148902318,215.78574522482148,529.4653495971683,287.3746419513331,6.300177449945354,0.21271919973580544
534,True,525.62,239.435,504.39504428389165,232.66085845354297,619.5522013201589,212.31070567325867,521.0254133244608,291.8626015791651,6.300177449945354,0.21271919973580544
535,True,517.1949999999999,236.76500000000001,493.77784092543186,229.61680857754465,625.4086059981813,210.02044046949777,512.8203292682967,296.76677342971175,6.300177449945354,0.21271919973580544
536,True,508.765,234.1,483.16063756697207,226.57275870154632,631.616527536797,209.01819268241502,504.8706058656913,302.07489962739004,6.300177449945354,0.21271919973580544
537,True,501.835,231.54,472.5434342085123,223.528708825548,637.8961184886722,209.34914272917038,497.196113285015,307.7737126211245,6.300177449945354,0.21271919973580544
538,True,494.9,228.98000000000002,461.9262308500525,220.48465894954967,643.9643006146167,210.99837168316284,489.8160337609211,313.8489683463152,6.300177449945354,0.21271919973580544
539,True,487.965,226.42000000000002,451.3090274915927,217.44060907355134,649.5475257927128,213.89153380564994,482.7488136487487,320.2854818275811,6.300177449945354,0.21271919973580544
540,True,481.03499999999997,223.86,440.6918241331329,214.39655919755302,654.3941073184394,217.89820798391878,476.01211731824117,327.06716513329064,6.300177449945354,0.21271919973580544
541,True,474.09999999999997,221.3,430.0746207746731,211.3525093215547,658.2855657120168,222.83777699622908,469.6227830018211,334.1770675870118,6.300177449945354,0.21271919973580544
542,True,466.31,219.91500000000002,419.45741741621333,208.30845944555637,661.0464775743133,228.4875695716208,463.5967807077787,341.5974181353759,6.300177449945354,0.21271919973580544
543,True,458.53,218.525,408.84021405775354,205.26440956955804,662.5523835138607,234.59289820794794,457.9491723035676,349.3096697664559,6.300177449945354,0.21271919973580544
544,True,450.74,217.14,398.22301069929375,202.22035969355971,662.7353986628357,240.87854025244636,452.6940738689808,357.2945458676371,6.300177449945354,0.21271919973580544
545,True,442.95,215.755,387.60580734083396,199.1763098175614,661.5872728650555,247.06114468818313,447.8446204133024,365.5320884071097,6.300177449945354,0.21271919973580544
546,True,435.16999999999996,214.365,376.9886039823742,196.13225994156306,659.1597625855026,252.86200533975762,443.412933044625,374.0017078185542,6.300177449945354,0.21271919973580544
547,True,427.7,213.62,366.3714006239144,193.08821006556474,655.5622977760348,258.01962469377764,439.4100886733922,382.68223446433456,6.300177449945354,0.21271919973580544
548,True,420.235,212.875,355.7541972654546,190.0441601895664,650.9570488728507,262.30150196853015,435.84609232589094,391.55197154856717,6.300177449945354,0.21271919973580544
549,True,412.77,212.125,345.1369939069948,187.0001103135681,645.5516163009677,265.51461403740467,432.7298521368966,400.5887493478112,6.300177449945354,0.21271919973580544
550,True,405.3,211.38,334.519790548535,183.95606043756976,639.589672036194,267.5141167355905,430.06915708397526,409.76998062383143,6.300177449945354,0.21271919973580544
551,True,397.83500000000004,210.635,323.9025871900752,180.91201056157144,633.339975094452,268.20987430306815,427.8706575190959,419.07271707993067,6.300177449945354,0.21271919973580544
