video,track_id,lvl,nf,om_gt,om_EKF,om_UKF
MVI_39821,17,full,65,-0.024290588763562045,-0.35532247080930335,-0.37847087522762846
MVI_39861,4,full,24,-0.44872662769216987,0.41166605209115675,0.43390626237602054
MVI_39931,4,full,20,1.1187226892019235,0.4225760858268766,0.451099947179519
MVI_40152,26,full,31,0.00937611063519955,-0.4946199391391337,-0.49007795775571017
MVI_40204,35,full,21,0.49963616517313214,0.007905624899998345,-0.0004571995564491152
MVI_40204,98,full,53,0.1584139254512351,-0.19996305568443606,-0.15795765765111994
MVI_40212,136,full,21,0.7752642993156331,-0.2876181203340743,-0.289851561322262
MVI_40213,205,full,24,-0.2765692836497978,-0.014657958523440031,-0.006538372223618892
MVI_40732,14,full,30,0.07305973753898082,-0.9968317409665906,-1.0264107335861556
MVI_40732,14,full,29,-0.5687258880915871,0.4404664842317075,0.44002506844315764
MVI_40752,76,full,31,-0.07105973118397407,-0.1886936987506943,-0.18700505032476175
MVI_40752,99,full,22,-0.1096045350630348,-0.21914463514151647,-0.21795244717582887
MVI_40991,1,full,20,0.35051418093924935,-1.0438035777201502,-1.0273381782568822
MVI_40991,10,full,24,-0.23212869492549001,-0.47419320736490184,-0.48635019405405694
MVI_40991,11,full,29,0.3148018833712062,0.03603043168186455,0.025442374622972264
MVI_40991,12,full,26,0.4339620277317752,0.02063960029650662,0.01053662130179889
MVI_40991,14,full,23,0.03669210235457941,-0.5870522089212814,-0.6014951518807528
MVI_40991,15,full,20,0.6953582262530812,0.021181892292879485,0.017180832682534865
MVI_40991,22,full,22,0.1773979358623792,-0.008861461167622308,-0.008872328653811063
MVI_40991,23,full,21,0.736944000827233,-0.05314369862739749,-0.057759071657029676
MVI_40991,27,full,21,0.6865292779947555,-0.24107566312902043,-0.24659098866931886
MVI_40992,6,full,20,0.3241596300918321,-0.28717139408441705,-0.32342884424465757
MVI_40992,9,full,22,0.282675166461953,-0.004695739050259313,-0.005871800302513794
MVI_40992,14,full,21,0.2946332368497826,-0.2784540984131753,-0.27914152710472334
MVI_40992,15,full,21,0.696243045679007,0.08058812963519495,0.07437227877926676
MVI_40992,16,full,21,0.15081291955839624,-0.06659189275661104,-0.0669929784006577
MVI_40992,17,full,20,0.5583664222661489,0.06764667859119404,0.06067006511872696
MVI_40992,18,full,21,0.46850743865443123,-0.10165438694091922,-0.10389635024185889
MVI_40992,22,full,20,0.4192898082945322,-0.26445142648933073,-0.27258795906576533
MVI_40992,28,full,21,0.4731923194617232,0.09871469776884753,0.10131469126943922
MVI_40992,29,full,23,0.3375457142892291,0.010300948041708016,0.011543751968051486
MVI_40992,31,full,22,0.6008039821140725,-0.0844525854708796,-0.0777030110590556
MVI_40992,34,full,20,0.6605790869311574,-0.2944833362888122,-0.2925659065243935
MVI_40992,35,full,22,0.3476744256325765,-0.3605100551012377,-0.3737718952807359
MVI_40992,38,full,23,0.42808673729829927,-0.09429531965727254,-0.09307218755806236
MVI_40992,39,full,30,0.4372972406114128,0.09091002118100874,0.08225665030808962
MVI_40992,42,full,21,0.4932231039986522,0.06096593504427454,0.06514127448361372
MVI_63521,54,full,22,0.6315502845361971,-0.2885147048051369,-1.549627008800303
MVI_63544,11,full,35,-0.07731837272056395,-0.3065294290167141,-0.3308025550123635
MVI_63553,16,full,30,-0.7792262153873689,0.058156433143940006,0.04757228861673641
MVI_63553,51,full,24,0.32209122052358796,-0.02825993820702669,-0.028376902795211642
MVI_63553,145,full,27,0.05582355703468001,-0.1809359255640328,-0.19720568671549457
MVI_63554,9,full,35,0.012619074736084715,-0.05925658738145889,-0.07727860029306181
MVI_63554,32,full,57,0.000708128998042787,-0.38576717353278234,-0.3512981519826621
MVI_63554,36,full,49,0.0874913323885549,-0.20017135022522436,-0.18255885201400365
MVI_63554,43,full,55,-0.054371330198161774,-0.3783488545384929,-0.3833682620983866
MVI_63554,56,full,30,0.007376649048829229,-0.2377339570600562,-0.2597562285536836
MVI_63554,64,full,37,-0.07714136981569829,0.4709124952134959,0.47585016426700966
MVI_63554,68,full,51,0.05638957519906881,0.21791896865523913,0.1932252691739017
MVI_63554,77,full,20,0.07638920388977204,-0.6459576522706368,-0.6249718691768326
MVI_63554,82,full,47,0.05116513929212961,-0.4055514570515575,-0.40833978389058295
MVI_63554,86,full,43,0.01350038183494483,-0.48339114182938253,-0.4867427481232753
MVI_63554,101,full,42,0.001479912418713744,-0.29475949211134167,-0.3029189933429708
MVI_63554,108,full,39,0.005801427575305093,-1.3968597323120262,-1.3692349382456814
MVI_63554,124,full,24,-0.07585854014393532,-0.5237216743329578,-0.4989574118981736
MVI_63554,147,full,28,0.019617246911621103,-0.46291865988917313,-0.47332851203136633
MVI_63554,165,full,20,0.11250545035169277,-0.5268444984051567,-0.5411936885059392
MVI_63554,165,full,22,0.13364446546154868,-0.2398190321352191,-0.24104642526353515
MVI_63554,171,full,33,-0.02003976467980807,-0.01265931264443057,-0.027963076402363216
MVI_63554,182,full,38,-0.007317306152659762,-0.8149162127368998,-0.8189511681698469
MVI_63561,75,full,36,-0.15581324384718112,0.705540985280794,0.6929954372535438
MVI_63561,86,full,23,0.01515986066185885,-0.6022953085963928,-0.6148133494380428
MVI_63561,141,full,20,0.052307650253862886,-0.05539223216842535,-0.048898950498600866
MVI_63561,158,full,33,0.051542385143295295,0.11342355437997231,0.09964929162441016
MVI_63562,10,full,29,0.09533176669046957,0.7046944335611699,0.6858400817506543
MVI_63563,98,full,21,0.04632793643212395,0.19406950671501377,0.19154233868673823
MVI_63563,103,full,21,0.030416875913041402,0.008654908393461285,0.01746559008453016
MVI_20011,21,partial,76,0.051216323514382586,3.190047358728788,0.4164886506537589
MVI_20012,41,partial,28,1.7287302968231115,-3.6764207693296265,-0.835161836173459
MVI_20035,34,partial,33,0.04577211894547388,0.29965033915528255,1.0023830213104485
MVI_20064,19,partial,23,-1.2734151641235096,-0.17396504212169786,-0.1728039731552695
MVI_20065,41,partial,44,0.21193448412661017,-0.003043273039810969,-0.08137165909409312
MVI_20065,53,partial,24,-0.09591065166076784,-1.05524164947682,-2.8920871845225946
MVI_39781,12,partial,34,-0.08220842152740994,-0.6382762716367844,-0.6287693804377197
MVI_39781,16,partial,47,-0.15868526261324978,-0.05823161592358697,-0.05883042840602914
MVI_39781,18,partial,37,0.07801597373372549,0.03834552905568065,0.03974100011911
MVI_39781,30,partial,75,-0.0032726643656279973,-0.921134279570621,0.44861710689404904
MVI_39781,37,partial,53,0.04607508334533153,-0.37962563357471835,-2.0304727483762237
MVI_39781,38,partial,33,-0.46005307102488674,0.21562566123397098,-0.02035222159255363
MVI_39781,48,partial,30,-0.21611712813123501,-0.02680084394914034,-0.026950539314381388
MVI_39801,12,partial,29,-0.032950916620350615,-0.16934304590664126,-0.18048094047371613
MVI_39801,18,partial,25,0.19466658964323794,0.952772749403577,0.9250655321694906
MVI_39801,29,partial,89,0.0518637082376562,-0.08976818188423474,-0.08955082079770942
MVI_39801,31,partial,76,-0.06055831146336414,0.11320565607691092,0.11223799913335163
MVI_39801,39,partial,49,-0.09551413664643837,-0.21795285665480452,-0.2248614979555455
MVI_39811,7,partial,22,0.15683030542972137,-0.058559612458465235,-0.04845833056013224
MVI_39821,6,partial,21,-0.19207181866290682,0.5607184976778451,0.6328338906261702
MVI_39821,8,partial,21,-0.17344464035554488,-0.03988313531197714,-2.974173285745872
MVI_39821,9,partial,25,-0.09865239163024908,-1.4470202752251917,-1.4163146697345657
MVI_39821,13,partial,52,0.07995009863440326,-0.18507674049415088,-0.10259717729525886
MVI_39821,13,partial,37,-0.1538635052390425,0.16146195151038426,0.13379751462901424
MVI_39821,14,partial,21,0.39719740054217784,-0.6516387238580628,-2.8954636092129
MVI_39821,21,partial,24,0.25411991311562443,-0.42947871993264175,-0.37334887213713563
MVI_39821,24,partial,21,-0.09556663520329053,-0.8634237285036185,-1.164285223980825
MVI_39821,24,partial,26,-0.3485264773049802,0.04555048652527827,0.04777936222567053
MVI_39821,28,partial,24,-0.32162293617330556,0.9342724330108227,0.8606274764655294
MVI_39821,31,partial,24,0.09064304522198839,0.575299897229862,0.3190697036379997
MVI_39861,1,partial,73,0.3002226168340047,-0.0461153487720643,-0.9201783088494062
MVI_39861,5,partial,23,-0.2821716140709531,-0.01182590779590188,-0.024021565033682128
MVI_39861,7,partial,38,-0.007786555822795189,-0.26107571413816805,-0.25537302494964725
MVI_39861,9,partial,22,0.3950280644921486,0.2769882389509474,0.28341658231362166
MVI_39931,4,partial,40,0.18194829933165474,-0.16682216708513117,-0.17535585904793266
MVI_39931,5,partial,21,-0.7260746096484586,0.08915422026539342,0.1305765928501971
MVI_39931,13,partial,32,-0.15645282863677296,0.12769604993660638,0.14420500626944716
MVI_39931,14,partial,38,0.24587879760089631,0.1485296671770065,0.15064176928690307
MVI_39931,17,partial,25,0.3076231406741076,0.7762210980091065,0.7940836324111522
MVI_39931,19,partial,35,-0.31724447866483374,-0.9604903401083037,-1.285116079521746
MVI_39931,21,partial,20,-0.7166341161890215,-0.3320327051352823,-0.2679071824415256
MVI_39931,25,partial,23,0.25125938907802303,0.24990227935469442,0.2573157683650143
MVI_40131,39,partial,55,-0.010693324298378657,0.07572258315632147,-0.22797075392922445
MVI_40152,10,partial,20,-0.2174601224028639,-0.8257127640606855,-0.7939331270604996
MVI_40152,11,partial,21,0.18438109685020568,-0.5117078490205359,-0.49117503782865796
MVI_40152,13,partial,23,-0.0612081178661226,-0.5729190935210752,-0.5576615553058965
MVI_40152,16,partial,20,0.17431784433128686,-0.43591859849004166,-0.4297294256107184
MVI_40152,17,partial,24,0.06916550970203142,-1.3449564482389036,-1.3003650936816298
MVI_40152,19,partial,21,0.05082897791672573,-0.9750852271895118,-0.9468360605103904
MVI_40152,20,partial,21,0.11558645132881415,-0.013765814907929799,-0.01180258239867399
MVI_40152,22,partial,20,0.06671199341637736,0.082559563732573,0.08397798762254739
MVI_40152,23,partial,20,-0.06879178153865485,-1.5972735882545708,-1.550347972814383
