video,track_id,seg_id,lvl,nf,speed,A_tichluy,B_net,C_hinhhoc
MVI_20011,28,1,full,15,2.025071230939138,1.0715128842923167,0.6089180410470248,0.9999421466887405
MVI_20011,28,2,full,21,1.2589696117923748,7.862462322895729,0.5016614814143745,2.021705888371089
MVI_20011,28,3,full,12,0.7079451758067286,4.802511740203249,4.136263522870971,7.884750638472535
MVI_20011,40,1,full,24,0.9760000315335128,9.080511686359566,0.12078396802476243,1.4051976491745417
MVI_20012,3,0,full,6,0.4325079818833263,18.492368948777298,9.001438603748182,12.526774184593377
MVI_20012,3,2,full,18,0.7607070795858502,28.58547271619525,5.5769345135765205,2.030045886744937
MVI_20012,14,0,full,10,0.2661679976723141,8.091799103082302,7.183758228672616,12.31338358318526
MVI_20012,38,0,full,29,1.5702640433115012,13.715470866011973,4.178680331603686,10.537009344818657
MVI_20034,48,0,full,19,0.09865072834382059,9.262619258045657,7.4967129492911715,13.172996688253086
MVI_20062,12,1,full,35,0.40146670239658366,0.3793782189013796,0.001553433505408719,0.0001640730925854909
MVI_20062,12,2,full,6,0.5277340872795083,0.31560279951370857,1.7912883966002526e-12,0.02632787752798737
MVI_20063,13,0,full,11,1.4586279205070194,0.11213656285743798,3.562221243239139e-14,0.002439849849743486
MVI_20064,39,0,full,8,0.7445184521859903,1.8478923960695757,0.6216026558643909,0.6790075292784737
MVI_39781,30,0,full,16,2.957208775126795,2.821843635543375,0.2245552905381902,0.27801790470456983
MVI_39781,37,0,full,15,3.258662631455517,0.8871097135028844,0.4658685090066358,0.3642892898770653
MVI_39781,48,0,full,16,3.050379054028506,21.220895505551585,1.5206250014399265,16.770649396671967
MVI_39801,6,0,full,9,17.02341679474747,0.012495807248490906,0.008739786704014771,0.01647344830430988
MVI_39801,14,0,full,8,16.570713375155254,0.21667146035664336,0.21449213179435903,0.18003608845637425
MVI_39801,27,0,full,8,17.424860363350074,0.6798215508017484,0.6716874919927979,0.9645874824036864
MVI_39801,33,0,full,12,13.246929429625823,1.1037625430609965,0.240558263940443,0.3664048842802324
MVI_39801,35,0,full,13,12.399342875453149,2.402016912700088,0.6261878807090856,1.4584544795208183
MVI_39801,40,0,full,12,11.572934411500697,1.9701432352688484,0.0429958665309887,0.09040866334396765
MVI_39811,3,0,full,8,16.430591470618136,3.277155062404617,1.1998085488012955,1.4952657676745693
MVI_39821,17,0,full,39,1.6978343991958382,3.371221958323487,0.27509327967958014,0.14723135035452284
MVI_39821,17,1,full,65,5.298648854631789,1.4237562098542371,0.024290588763562045,0.09477099833015397
MVI_39821,17,2,full,19,14.545659891421511,0.3648136091910195,0.05121528574649514,0.10105707478109512
MVI_39821,22,0,full,8,10.24801664398951,0.65870349038069,0.6388698726957757,1.0169549587406546
MVI_39821,23,0,full,101,7.0114704559551,0.7483321125394938,0.0024688854378645125,0.010454344714080833
MVI_39821,27,0,full,6,9.987955141398286,3.9629681411984032,0.9142301679228577,0.5563205783642301
MVI_39861,1,0,full,8,3.722230340637813,5.984615447615824,5.9529686140462825,11.397090210935955
MVI_39861,4,1,full,24,18.95768686377322,2.4847964589286073,0.44872662769216987,0.27218897963608063
MVI_39861,5,0,full,12,1.6150649275305087,2.321697267517168,1.5243303577953602,2.46886097956932
MVI_39861,9,0,full,12,1.7896018088301504,2.451446018904317,0.36817637338940334,1.1403780176938334
MVI_39861,11,0,full,6,2.0861091576365194,2.4888708209995243,2.4888708209993764,4.965279599550073
MVI_39861,12,0,full,8,2.575803569743177,2.8393306715662208,2.727556839982437,3.656872817889158
MVI_39931,4,0,full,20,2.9550017896733767,1.4817776394668272,1.1187226892019235,1.6245038332264528
