video,track_id,vehicle_type
MVI_20011,1,car
MVI_20011,2,car
MVI_20011,3,car
MVI_20011,4,car
MVI_20011,5,car
MVI_20011,6,car
MVI_20011,7,car
MVI_20011,8,car
MVI_20011,9,car
MVI_20011,10,car
MVI_20011,11,car
MVI_20011,12,car
MVI_20011,13,car
MVI_20011,14,car
MVI_20011,15,car
MVI_20011,16,car
MVI_20011,17,van
MVI_20011,18,others
MVI_20011,19,car
MVI_20011,20,car
MVI_20011,21,car
MVI_20011,22,car
MVI_20011,23,car
MVI_20011,24,car
MVI_20011,25,car
MVI_20011,26,car
MVI_20011,27,car
MVI_20011,28,car
MVI_20011,29,car
MVI_20011,30,car
MVI_20011,31,car
MVI_20011,32,car
MVI_20011,33,car
MVI_20011,34,car
MVI_20011,35,car
MVI_20011,36,car
MVI_20011,37,car
MVI_20011,38,car
MVI_20011,39,van
MVI_20011,40,car
MVI_20011,41,car
MVI_20011,42,car
MVI_20011,43,car
MVI_20011,44,car
MVI_20011,45,car
MVI_20011,46,bus
MVI_20011,47,car
MVI_20011,48,car
MVI_20011,49,car
MVI_20011,50,car
MVI_20011,51,car
MVI_20011,52,car
MVI_20011,53,car
MVI_20012,1,car
MVI_20012,3,car
MVI_20012,4,van
MVI_20012,5,car
MVI_20012,6,car
MVI_20012,7,car
MVI_20012,8,car
MVI_20012,9,car
MVI_20012,10,van
MVI_20012,11,car
MVI_20012,12,car
MVI_20012,13,car
MVI_20012,14,van
MVI_20012,15,car
MVI_20012,16,car
MVI_20012,17,car
MVI_20012,18,car
MVI_20012,19,car
MVI_20012,20,car
MVI_20012,21,car
MVI_20012,22,bus
MVI_20012,23,car
MVI_20012,24,car
MVI_20012,25,car
MVI_20012,26,car
MVI_20012,27,car
MVI_20012,28,van
MVI_20012,29,car
MVI_20012,30,car
MVI_20012,31,car
MVI_20012,32,car
MVI_20012,33,car
MVI_20012,34,car
MVI_20012,35,car
MVI_20012,36,car
MVI_20012,37,car
MVI_20012,38,car
MVI_20012,39,car
MVI_20012,40,car
MVI_20012,41,car
MVI_20012,42,bus
MVI_20032,1,car
MVI_20032,2,car
MVI_20032,3,car
MVI_20032,4,car
MVI_20032,5,car
MVI_20032,6,car
MVI_20032,7,car
MVI_20032,8,car
MVI_20032,9,car
MVI_20033,1,car
MVI_20033,2,car
MVI_20033,3,car
MVI_20033,4,car
MVI_20033,5,van
MVI_20033,6,car
MVI_20033,7,car
MVI_20033,8,car
MVI_20033,9,car
MVI_20033,10,car
MVI_20033,11,van
MVI_20033,12,car
MVI_20033,13,car
MVI_20033,14,car
MVI_20033,15,van
MVI_20033,16,car
MVI_20033,17,car
MVI_20033,18,car
MVI_20033,20,car
MVI_20033,21,car
MVI_20033,22,car
MVI_20033,23,car
MVI_20033,24,car
MVI_20033,25,car
MVI_20033,26,bus
MVI_20034,1,car
MVI_20034,2,car
MVI_20034,3,car
MVI_20034,4,car
MVI_20034,5,car
MVI_20034,6,car
MVI_20034,7,car
MVI_20034,8,car
MVI_20034,9,car
MVI_20034,10,car
MVI_20034,11,car
MVI_20034,13,van
MVI_20034,14,car
MVI_20034,15,car
MVI_20034,16,car
MVI_20034,18,car
MVI_20034,19,car
MVI_20034,20,car
MVI_20034,21,car
MVI_20034,22,car
MVI_20034,23,car
MVI_20034,24,car
MVI_20034,25,van
MVI_20034,26,car
MVI_20034,27,car
MVI_20034,28,car
MVI_20034,30,car
MVI_20034,31,car
MVI_20034,32,car
MVI_20034,33,car
MVI_20034,34,car
MVI_20034,35,car
MVI_20034,36,car
MVI_20034,37,car
MVI_20034,38,car
MVI_20034,39,car
MVI_20034,40,car
MVI_20034,41,car
MVI_20034,42,car
MVI_20034,43,car
MVI_20034,44,car
MVI_20034,45,car
MVI_20034,46,car
MVI_20034,47,car
MVI_20034,48,bus
MVI_20034,49,bus
MVI_20034,50,bus
MVI_20035,1,car
MVI_20035,2,car
MVI_20035,3,car
MVI_20035,4,car
MVI_20035,5,car
