video,track_id,seg_id,lvl,nf,n_clean,fallback,om_gt,om_state,om_rts,om_cir
MVI_39821,17,1,full,65,0,True,-0.024290588763562045,-0.35532247080930335,-0.35532247080930335,-0.35532247080930335
MVI_39861,4,1,full,24,0,True,-0.44872662769216987,0.41166605209115675,0.41166605209115675,0.41166605209115675
MVI_39931,4,0,full,20,5,True,1.1187226892019235,0.4225760858268766,0.4225760858268766,0.4225760858268766
MVI_40152,26,0,full,31,0,True,0.00937611063519955,-0.4946199391391337,-0.4946199391391337,-0.4946199391391337
MVI_40204,35,0,full,21,0,True,0.49963616517313214,0.007905624899998345,0.007905624899998345,0.007905624899998345
MVI_40204,98,0,full,53,0,True,0.1584139254512351,-0.19996305568443606,-0.19996305568443606,-0.19996305568443606
MVI_40212,136,0,full,21,5,True,0.7752642993156331,-0.2876181203340743,-0.2876181203340743,-0.2876181203340743
MVI_40213,205,0,full,24,0,True,-0.2765692836497978,-0.014657958523440031,-0.014657958523440031,-0.014657958523440031
MVI_40732,14,0,full,30,3,True,0.07305973753898082,-0.9968317409665906,-0.9968317409665906,-0.9968317409665906
MVI_40732,14,1,full,29,0,True,-0.5687258880915871,0.4404664842317075,0.4404664842317075,0.4404664842317075
MVI_40752,76,1,full,31,0,True,-0.07105973118397407,-0.1886936987506943,-0.1886936987506943,-0.1886936987506943
MVI_40752,99,1,full,22,0,True,-0.1096045350630348,-0.21914463514151647,-0.21914463514151647,-0.21914463514151647
MVI_40991,1,0,full,20,0,True,0.35051418093924935,-1.0438035777201502,-1.0438035777201502,-1.0438035777201502
MVI_40991,10,0,full,24,0,True,-0.23212869492549001,-0.47419320736490184,-0.47419320736490184,-0.47419320736490184
MVI_40991,11,0,full,29,0,True,0.3148018833712062,0.03603043168186455,0.03603043168186455,0.03603043168186455
MVI_40991,12,0,full,26,0,True,0.4339620277317752,0.02063960029650662,0.02063960029650662,0.02063960029650662
MVI_40991,14,0,full,23,0,True,0.03669210235457941,-0.5870522089212814,-0.5870522089212814,-0.5870522089212814
MVI_40991,15,0,full,20,0,True,0.6953582262530812,0.021181892292879485,0.021181892292879485,0.021181892292879485
MVI_40991,22,0,full,22,0,True,0.1773979358623792,-0.008861461167622308,-0.008861461167622308,-0.008861461167622308
MVI_40991,23,0,full,21,0,True,0.736944000827233,-0.05314369862739749,-0.05314369862739749,-0.05314369862739749
MVI_40991,27,0,full,21,0,True,0.6865292779947555,-0.24107566312902043,-0.24107566312902043,-0.24107566312902043
MVI_40992,6,0,full,20,0,True,0.3241596300918321,-0.28717139408441705,-0.28717139408441705,-0.28717139408441705
MVI_40992,9,0,full,22,0,True,0.282675166461953,-0.004695739050259313,-0.004695739050259313,-0.004695739050259313
MVI_40992,14,0,full,21,0,True,0.2946332368497826,-0.2784540984131753,-0.2784540984131753,-0.2784540984131753
MVI_40992,15,0,full,21,0,True,0.696243045679007,0.08058812963519495,0.08058812963519495,0.08058812963519495
