video,track_id,vehicle_type
MVI_20011,1,car
MVI_20011,2,car
MVI_20011,3,car
MVI_20011,4,car
MVI_20011,5,car
MVI_20011,6,car
MVI_20011,7,car
MVI_20011,8,car
MVI_20011,9,car
MVI_20011,10,car
MVI_20011,11,car
MVI_20011,12,car
MVI_20011,13,car
MVI_20011,14,car
MVI_20011,15,car
MVI_20011,16,car
MVI_20011,17,van
MVI_20011,18,others
MVI_20011,19,car
MVI_20011,20,car
MVI_20011,21,car
MVI_20011,22,car
MVI_20011,23,car
MVI_20011,24,car
MVI_20011,25,car
MVI_20011,26,car
MVI_20011,27,car
MVI_20011,28,car
MVI_20011,29,car
MVI_20011,30,car
MVI_20011,31,car
MVI_20011,32,car
MVI_20011,33,car
MVI_20011,34,car
MVI_20011,35,car
MVI_20011,36,car
MVI_20011,37,car
MVI_20011,38,car
MVI_20011,39,van
MVI_20011,40,car
MVI_20011,41,car
MVI_20011,42,car
MVI_20011,43,car
MVI_20011,44,car
MVI_20011,45,car
MVI_20011,46,bus
MVI_20011,47,car
MVI_20011,48,car
MVI_20011,49,car
MVI_20011,50,car
MVI_20011,51,car
MVI_20011,52,car
MVI_20011,53,car
MVI_39811,1,car
MVI_39811,2,car
MVI_39811,3,car
MVI_39811,4,car
MVI_39811,5,car
MVI_39811,6,car
MVI_39811,7,car
MVI_39811,8,car
MVI_39811,9,car
MVI_40204,1,car
MVI_40204,2,car
MVI_40204,3,car
MVI_40204,4,car
MVI_40204,5,car
MVI_40204,6,car
MVI_40204,7,car
MVI_40204,8,car
MVI_40204,9,car
MVI_40204,10,car
MVI_40204,11,car
MVI_40204,12,car
MVI_40204,13,car
MVI_40204,14,car
MVI_40204,15,car
MVI_40204,16,car
MVI_40204,17,car
MVI_40204,18,car
MVI_40204,19,car
MVI_40204,20,car
MVI_40204,21,car
MVI_40204,22,car
MVI_40204,23,car
MVI_40204,24,car
MVI_40204,25,car
MVI_40204,26,car
MVI_40204,27,car
MVI_40204,28,car
MVI_40204,29,car
MVI_40204,30,car
MVI_40204,31,van
MVI_40204,32,car
MVI_40204,33,car
MVI_40204,34,car
MVI_40204,35,car
MVI_40204,36,van
MVI_40204,37,car
MVI_40204,38,car
MVI_40204,39,car
MVI_40204,40,van
MVI_40204,41,car
MVI_40204,42,car
MVI_40204,43,car
MVI_40204,44,car
MVI_40204,45,car
MVI_40204,46,car
MVI_40204,47,car
MVI_40204,48,car
MVI_40204,49,car
MVI_40204,50,car
MVI_40204,51,car
MVI_40204,52,car
MVI_40204,53,car
MVI_40204,54,van
MVI_40204,55,car
MVI_40204,56,car
MVI_40204,57,van
MVI_40204,58,car
MVI_40204,59,car
MVI_40204,60,car
MVI_40204,61,car
MVI_40204,62,car
MVI_40204,63,car
MVI_40204,64,car
MVI_40204,65,car
MVI_40204,66,car
MVI_40204,67,car
MVI_40204,68,car
MVI_40204,69,bus
MVI_40204,70,van
MVI_40204,71,car
MVI_40204,72,car
MVI_40204,73,car
MVI_40204,74,car
MVI_40204,75,van
MVI_40204,76,car
MVI_40204,77,car
MVI_40204,78,car
MVI_40204,79,car
MVI_40204,80,car
MVI_40204,81,car
MVI_40204,82,car
MVI_40204,83,car
MVI_40204,84,car
MVI_40204,85,car
MVI_40204,86,car
MVI_40204,87,car
MVI_40204,88,car
MVI_40204,89,car
MVI_40204,90,car
MVI_40204,91,car
MVI_40204,92,car
MVI_40204,93,car
MVI_40204,94,bus
MVI_40204,95,car
MVI_40204,96,van
MVI_40204,97,car
MVI_40204,98,car
MVI_40204,99,car
MVI_40204,100,car
MVI_40204,101,car
MVI_40204,102,car
MVI_40204,103,car
MVI_40204,104,car
MVI_40204,105,car
MVI_40204,106,car
MVI_40204,107,car
MVI_40204,108,car
MVI_40204,109,car
MVI_40204,110,car
MVI_40204,111,van
MVI_40204,112,car
MVI_40204,113,car
MVI_40204,114,car
MVI_40204,115,van
MVI_40204,116,car
MVI_40204,117,car
MVI_40204,118,car
