video,track_id,seg_id,lvl,frame_start,frame_end,T_occ,omega_before,omega_during,occlusion_ratio_max,ob_deg,od_deg,case_0.1,case_0.25,case_0.5
MVI_40241,37,0,partial,198,217,20,-0.0005885628024498,-0.0027349221551936,0.2483803438269654,-0.03372216455876557,-0.15669949678941641,CASE_B,STRAIGHT,STRAIGHT
MVI_40241,43,0,partial,240,261,22,-0.0065841855423558,-0.0007291781424174,0.8946328613763583,-0.3772460431080423,-0.04177883007370629,STRAIGHT,STRAIGHT,STRAIGHT
MVI_40241,59,0,partial,401,431,31,-0.0007599329020396,-0.001836865537477,0.8456064542613224,-0.043540947999997706,-0.10524464283046164,CASE_B,STRAIGHT,STRAIGHT
MVI_40241,79,0,partial,567,586,20,-0.0082418079273404,-0.0106380250409358,0.8038793103448276,-0.47222080979406955,-0.6095139372001062,CASE_A,CASE_A,CASE_B
MVI_40241,84,0,partial,596,611,16,0.0056693153448814,-0.0107624587196291,0.7471874999999999,0.32482784199045894,-0.6166434618185193,CASE_C,CASE_C,CASE_B
MVI_40241,87,0,partial,594,611,18,0.0021529161248828,-0.0037573188107299,0.3095469255663429,0.1233530076014445,-0.21527851013993704,CASE_C,STRAIGHT,STRAIGHT
MVI_40241,110,0,partial,745,786,42,-0.0001194742561764,0.0018592319330088,0.6400070311126735,-0.006845370639372528,0.10652614289735406,CASE_B,STRAIGHT,STRAIGHT
MVI_40241,129,0,partial,928,945,18,-0.002496655731736,-0.0013414488423711,0.44874383440891,-0.14304783632561907,-0.07685935710057407,STRAIGHT,STRAIGHT,STRAIGHT
MVI_40241,133,0,partial,967,991,25,0.00159887569794,0.0032419506351329,0.8080976863753215,0.09160882945799585,0.18575008878287183,CASE_B,STRAIGHT,STRAIGHT
MVI_40241,149,0,partial,1068,1086,19,-0.0016527104611799,-0.0075631639330533,0.9999999999999998,-0.09469333418272816,-0.43333737312951837,CASE_B,CASE_B,STRAIGHT
MVI_40241,150,0,partial,1045,1086,42,-0.0046709697429317,0.0001080222329511,0.687755744412968,-0.2676268525032935,0.006189218041677041,STRAIGHT,STRAIGHT,STRAIGHT
MVI_40241,157,0,partial,1098,1121,24,-0.0014386881008914,0.0162885990219846,0.5843810873029928,-0.08243075621676879,0.933267978140638,CASE_B,CASE_B,CASE_B
MVI_40241,161,0,partial,1127,1151,25,0.0007879247197228,-0.0093174767489331,0.5417655702498023,0.04514476101414473,-0.533852093425142,CASE_B,CASE_B,CASE_B
MVI_40241,183,0,partial,1261,1301,41,0.0010366376823961,-0.0028995762938775,0.4587588825159667,0.059394964085519614,-0.16613348401536565,CASE_B,STRAIGHT,STRAIGHT
MVI_40241,189,0,partial,1288,1327,40,0.006139152214179,-0.0009862605917945,0.4835980056286794,0.35174751166085116,-0.05650856940989976,STRAIGHT,STRAIGHT,STRAIGHT
