video,track_id,seg_id,lvl,frame_start,frame_end,T_occ,omega_before,omega_during,occlusion_ratio_max
MVI_40241,37,0,partial,198,217,20,-0.0005885628024498889,-0.0027349221551936365,0.24838034382696544
MVI_40241,43,0,partial,240,261,22,-0.006584185542355847,-0.000729178142417439,0.8946328613763583
MVI_40241,59,0,partial,401,431,31,-0.0007599329020396132,-0.0018368655374770466,0.8456064542613224
MVI_40241,79,0,partial,567,586,20,-0.008241807927340446,-0.010638025040935806,0.8038793103448276
MVI_40241,84,0,partial,596,611,16,0.005669315344881424,-0.010762458719629109,0.7471874999999999
MVI_40241,87,0,partial,594,611,18,0.0021529161248828965,-0.003757318810729985,0.30954692556634295
MVI_40241,110,0,partial,745,786,42,-0.00011947425617648832,0.0018592319330088068,0.6400070311126735
MVI_40241,129,0,partial,928,945,18,-0.002496655731736014,-0.0013414488423711163,0.44874383440891
MVI_40241,133,0,partial,967,991,25,0.0015988756979400083,0.0032419506351329687,0.8080976863753215
MVI_40241,149,0,partial,1068,1086,19,-0.0016527104611799746,-0.007563163933053385,0.9999999999999998
MVI_40241,150,0,partial,1045,1086,42,-0.004670969742931726,0.00010802223295114961,0.687755744412968
MVI_40241,157,0,partial,1098,1121,24,-0.0014386881008914075,0.01628859902198465,0.5843810873029928
MVI_40241,161,0,partial,1127,1151,25,0.000787924719722807,-0.009317476748933165,0.5417655702498023
MVI_40241,183,0,partial,1261,1301,41,0.0010366376823961363,-0.0028995762938775946,0.4587588825159667
MVI_40241,189,0,partial,1288,1327,40,0.0061391522141790444,-0.0009862605917945436,0.48359800562867944
MVI_40241,193,1,partial,1305,1355,51,-0.00679613321234398,-0.0035326558539877247,0.3619516772226126
MVI_40241,202,0,partial,1407,1416,10,-0.004323091217686915,-0.032822590502507465,0.8932816214187409
MVI_40241,216,1,partial,1495,1526,32,-0.0003901957433392056,-0.0025717380718475974,0.28969901225797967
MVI_40241,223,1,partial,1544,1595,52,0.008790248911818323,-0.00037082182979578104,0.392348635157686
MVI_40241,228,1,partial,1593,1639,47,0.0020509479848756355,0.0020579584760981396,0.4726795328396153
MVI_40241,234,0,partial,1640,1666,27,-0.002108452151162227,-0.002013011968225902,0.5492031592117611
MVI_40241,235,1,partial,1644,1678,35,0.0007278419181440929,-0.0014620966992084283,0.3261216439586963
MVI_40241,241,0,partial,1691,1706,16,-0.0007078429101723606,0.009287467836250377,0.48287811894819416
MVI_40241,243,0,partial,1671,1701,31,-0.057805528951039964,0.0005851866477768146,1.0
MVI_40241,254,1,partial,1760,1799,40,-0.008758612929151336,-0.0006719876283275786,0.27978663938247955
MVI_40241,311,0,partial,2181,2206,26,-0.0023455204637657834,-0.0017853472891762312,0.9999999999999998
MVI_40241,324,3,partial,2260,2287,28,0.00121538082901865,-0.002106713958981321,0.2513821787172846
MVI_40241,325,0,partial,2255,2291,37,-0.0018154277588992524,-0.0008670969101095448,0.6201354682916503
MVI_40241,335,1,partial,2303,2320,18,0.01948909057357059,0.0059463128918059,0.2028273394751798
MVI_40752,6,1,partial,79,127,49,0.003605039109341482,-5.1265457699351596e-05,0.19430763048588381
MVI_40752,9,0,partial,136,156,21,-0.012366835468544063,0.005223014585132478,0.2562604531592959
MVI_40752,17,0,partial,185,230,46,-0.008445455395854194,-0.0015716420025575601,0.5683064896540504
MVI_40752,28,1,partial,204,230,27,-0.005036354930581168,0.001802720780797583,0.1949760534935718
MVI_40752,28,2,partial,240,268,29,-0.0048631430567609435,-0.002617118494215482,0.2024499897539744
MVI_40752,29,0,partial,206,266,61,0.015205005706153019,6.579373638377866e-05,0.8618796304859373
